0030,0,Số không
00CD,Í,Chữ I hoa với dấu sắc
00D2,Ò,Chữ O hoa với dấu huyền
00D3,ó,Chữ O hoa với dấu sắc
00D4,Ô,Chữ Ô hoa
00D5,Õ,Chữ O hoa với dấu ngã
00D9,Ù,Chữ U hoa với dấu huyền
00DA,Ú,Chữ U hoa với dấu sắc
00DD,Ý,Chữ Y hoa với dấu sắc
00E0,à,Chữ a thường với dấu huyền
00E1,á,Chữ a thường với dấu sắc
00E2,â,Chữ â thường
00E3,ã,Chữ a thường với dấu ngã
00E8,è,Chữ e thường với dấu huyền
00E9,é,Chữ e thường với dấu sắc
00EA,ê,Chữ ê thường
00EC,ì,Chữ i thường với dấu huyền
00ED,í,Chữ i thường với dấu sắc
00F2,ò,Chữ o thường với dấu huyền
00F3,ó,Chữ o thường với dấu sắc
00F4,ô,Chữ ô thường
00F5,õ,Chữ o thường với dấu ngã
00F9,ù,Chữ u thường với dấu huyền
00FA,ú,Chữ u thường với dấu sắc
00FD,ý,Chữ y thường với dấu sắc
0102,Ă,Chữ Ă hoa
0103,ă,Chữ ă thường
0110,Đ,Chữ Đ hoa
0111,đ,Chữ đ thường
0128,Ĩ,Chữ I hoa với dấu ngã
0129,ĩ,Chữ i thường với dấu ngã
0168,Ũ,Chữ U hoa với dấu ngã
0169,ũ,Chữ u thường với dấu ngã
01A0,Ơ,Chữ Ơ hoa
01A1,ơ,Chữ ơ thường
01AF,Ư,Chữ Ư hoa
01B0,ư,Chữ ư thường
1EA0,Ạ,Chữ A hoa với dấu nặng
1EA1,ạ,Chữ a thường với dấu nặng
1EA2,Ả,Chữ A hoa với dấu hỏi
1EA3,ả,Chữ a thường với dấu hỏi
1EA4,Ấ,Chữ Â hoa với dấu sắc
1EA5,ấ,Chữ â thường với dấu sắc
1EA6,Ầ,Chữ Â hoa với dấu huyền
1EA7,ầ,Chữ â thường với dấu huyền
1EA8,Ẩ,Chữ Â hoa với dấu hỏi
1EA9,ẩ,Chữ â thường với dấu hỏi
1EAA,Ẫ,Chữ Â hoa với dấu ngã
1EAB,ẫ,Chữ â thường với dấu ngã
1EAC,Ậ,Chữ Â hoa với dấu nặng
1EAD,ậ,Chữ â thường với dấu nặng
1EAE,Ẵ,Chữ Ă hoa với dấu sắc
1EAF,ắ,Chữ ă thường với dấu sắc
1EB0,Ằ,Chữ Ă hoa với dấu huyền
1EB1,ằ,Chữ ă thường với dấu huyền
1EB2,Ẳ,Chữ Ă hoa với dấu hỏi
1EB3,ẳ,Chữ ă thường với dấu hỏi
1EB4,Ẵ,Chữ Ă hoa với dấu ngã
1EB5,ẵ,Chữ ă thường với dấu ngã
1EB6,Ặ,Chữ Ă hoa với dấu nặng
1EB7,ặ,Chữ ă thường với dấu nặng
1EB8,Ẹ,Chữ E hoa với dấu nặng
1EB9,ẹ,Chữ e thường với dấu nặng
1EBA,Ẻ,Chữ E hoa với dấu hỏi
1EBB,ẻ,Chữ e thường với dấu hỏi
1EBC,Ẽ,Chữ E hoa với dấu ngã
1EBD,ẽ,Chữ e thường với dấu ngã
1EBE,Ế,Chữ Ê hoa với dấu sắc
1EBF,ế,Chữ ê thường với dấu sắc
1EC0,Ề,Chữ Ê hoa với dấu huyền
1EC1,ề,Chữ ê thường với dấu huyền
1EC2,Ể,Chữ Ê hoa với dấu hỏi
1EC3,ể,Chữ ê thường với dấu hỏi
1EC4,Ễ,Chữ Ê hoa với dấu ngã
1EC5,ễ,Chữ ê thường với dấu ngã
1EC6,Ệ,Chữ Ê hoa với dấu nặng
1EC7,ệ,Chữ ê thường với dấu nặng
1EC8,Ỉ,Chữ I hoa với dấu hỏi
1EC9,ỉ,Chữ i thường với dấu hỏi
1ECA,Ị,Chữ I hoa với dấu nặng
1ECB,ị,Chữ i thường với dấu nặng
1ECC,Ọ,Chữ O hoa với dấu nặng
1ECD,ọ,Chữ o thường với dấu nặng
1ECE,Ỏ,Chữ O hoa với dấu hỏi
1ECF,ỏ,Chữ o thường với dấu hỏi
1ED0,Ố,Chữ Ô hoa với dấu sắc
1ED1,ố,Chữ ô thường với dấu sắc
1ED2,Ồ,Chữ Ô hoa với dấu huyền
1ED3,ồ,Chữ ô thường với dấu huyền
1ED4,Ổ,Chữ Ô hoa với dấu hỏi
1ED5,ổ,Chữ ô thường với dấu hỏi
1ED6,Ỗ,Chữ Ô hoa với dấu ngã
1ED7,ỗ,Chữ ô thường với dấu ngã
1ED8,Ộ,Chữ Ô hoa với dấu nặng
1ED9,ộ,Chữ ô thường với dấu nặng
1EDA,Ớ,Chữ Ơ hoa với dấu sắc
1EDB,ớ,Chữ ơ thường với dấu sắc
1EDC,Ờ,Chữ Ơ hoa với dấu huyền
1EDD,ờ,Chữ ơ thường với dấu huyền
1EDE,Ở,Chữ Ơ hoa với dấu hỏi
1EDF,ở,Chữ ơ thường với dấu hỏi
1EE0,Ỡ,Chữ Ơ hoa với dấu ngã
1EE1,ỡ,Chữ ơ thường với dấu ngã
1EE2,Ợ,Chữ Ơ hoa với dấu nặng
1EE3,ợ,Chữ ơ thường với dấu nặng
1EE4,Ụ,Chữ u hoa với dấu nặng
1EE5,ụ,Chữ u thường với dấu nặng
1EE6,Ủ,Chữ U hoa với dấu hỏi
1EE7,ủ,Chữ u thường với dấu hỏi
1EE8,Ứ,Chữ ư hoa với dấu sắc
1EE9,ứ,Chữ ư thường với dấu sắc
1EEA,Ừ,Chữ ư hoa với dấu huyền
1EEB,ừ,Chữ ư thường với dấu huyền
1EEC,Ử,Chữ ư hoa với dấu hỏi
1EED,ử,Chữ ư thường với dấu hỏi
1EEE,Ữ,Chữ ư hoa với dấu ngã
1EEF,ữ,Chữ ư thường với dấu ngã
1EF0,Ự,Chữ ư hoa với dấu nặng
1EF1,ự,Chữ ư thường với dấu nặng
1EF2,Ỳ,Chữ y hoa với dấu huyền
1EF3,ỳ,Chữ y thường với dấu huyền
1EF4,Ỵ,Chữ y hoa với dấu nặng
1EF5,ỵ,Chữ y thường với dấu nặng
1EF6,Ỷ,Chữ y hoa với dấu hỏi
1EF7,ỷ,Chữ y thường với dấu hỏi
1EF8,Ỹ,Chữ y hoa với dấu ngã
1EF9,ỹ,Chữ y thường với dấu ngã
002D,-,Dấu gạch ngang
